Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

----------------------------------------
Running client with DIFFICULTY: 100000
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 100000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 30887 30887 1] 4719
[1 36916 36916 1] 4682
[1 38336 38336 1] 5451
[1 60493 60493 1] 9489
[1 41422 41422 1] 5685
[1 90028 90028 1] 12112
[1 20060 20060 1] 2397
[1 13927 13927 1] 2516
[1 83427 83427 1] 10725
[1 55737 55737 1] 8427
[1 95369 95369 1] 12445
[1 56430 56430 1] 7661
[1 21531 21531 1] 3322
[1 65124 65124 1] 7687
[1 3136 3136 1] 979
[1 79803 79803 1] 10433
[1 23059 23059 1] 2821
[1 98168 98168 1] 12692
[1 18457 18457 1] 2705
[1 78043 78043 1] 10918
[1 77374 77374 1] 10778
[1 44920 44920 1] 5827
[1 98538 98538 1] 12473
[1 94325 94325 1] 12538
[1 64371 64371 1] 8645
[1 3527 3527 1] 621
[1 68981 68981 1] 8739
[1 41874 41874 1] 6513
[1 99171 99171 1] 12983
[1 97282 97282 1] 11357
[1 20926 20926 1] 3345
[1 36328 36328 1] 4950
[1 26506 26506 1] 5359
[1 21730 21730 1] 2592
[1 25858 25858 1] 4381
[1 53896 53896 1] 8065
[1 546 546 1] 270
[1 33368 33368 1] 4771
[1 90365 90365 1] 11751
[1 13751 13751 1] 1781
[1 26809 26809 1] 4170
[1 47179 47179 1] 6948
[1 93585 93585 1] 11516
[1 2652 2652 1] 467
[1 12400 12400 1] 1588
[1 95061 95061 1] 12304
[1 93369 93369 1] 11635
[1 10013 10013 1] 1222
[1 98587 98587 1] 13019
[1 97540 97540 1] 12694
[1 80571 80571 1] 11207
[1 60379 60379 1] 7737
[1 66602 66602 1] 9346
[1 12903 12903 1] 2115
[1 70493 70493 1] 10209
[1 60757 60757 1] 7926
[1 60281 60281 1] 9058
[1 9442 9442 1] 1783
[1 29690 29690 1] 3489
[1 46620 46620 1] 6612
[1 44730 44730 1] 6003
[1 8118 8118 1] 1094
[1 5772 5772 1] 870
[1 90676 90676 1] 13334
[1 98928 98928 1] 13380
[1 77857 77857 1] 14507
[1 72354 72354 1] 9782
[1 76966 76966 1] 9906
[1 64684 64684 1] 8267
[1 28625 28625 1] 4758
[1 32872 32872 1] 4215
[1 48830 48830 1] 6808
[1 30020 30020 1] 4747
[1 63369 63369 1] 20084
[1 86716 86716 1] 13349
[1 18150 18150 1] 3252
[1 724 724 1] 249
[1 2246 2246 1] 1655
[1 93452 93452 1] 12353
[1 43556 43556 1] 6051
[1 97489 97489 1] 12857
[1 88229 88229 1] 16332
[1 92351 92351 1] 11924
[1 41501 41501 1] 6177
[1 87765 87765 1] 12771
[1 24915 24915 1] 3253
[1 75857 75857 1] 10953
[1 46492 46492 1] 6688
[1 48366 48366 1] 7352
[1 81937 81937 1] 11586
[1 52552 52552 1] 7080
[1 99229 99229 1] 16736
[1 75408 75408 1] 10022
[1 76122 76122 1] 10853
[1 94396 94396 1] 13888
[1 61238 61238 1] 12003
[1 73794 73794 1] 11405
[1 94429 94429 1] 12428
[1 31012 31012 1] 4528
[1 39530 39530 1] 5607
[1 22405 22405 1] 3457
